ImageId,EncodedPixels
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,155486 6 156003 10 156523 10 157042 12 157562 12 158082 13 158602 14 159121 16 159641 16 160161 16 160681 17 161201 17 161721 18 162241 19 162761 19 163281 20 163801 20 164321 20 164841 20 165361 20 165881 20 166401 20 166921 20 167441 20 167961 20 168481 20 169001 20 169521 20 170041 20 170561 20 171082 18 171602 18 172122 15 172643 11 173165 7 173686 5
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,31203 1 31722 2 32242 2 32763 1
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,102449 4 102967 7 103486 9 104005 12 104524 17 105044 20 105563 22 106083 23 106603 24 107123 26 107643 27 108163 28 108683 29 109203 30 109723 30 110243 30 110764 29 111284 30 111804 30 112324 30 112844 30 113364 30 113417 8 113884 31 113935 13 114404 31 114454 15 114923 33 114973 17 115443 34 115491 21 115963 35 116008 29 116483 36 116525 33 117003 76 117523 77 118043 78 118563 78 119083 79 119603 79 120124 78 120645 77 121169 73 121693 69 122214 68 122734 68 123255 67 123775 67 124295 67 124815 66 125335 66 125856 64 126376 63 126896 62 127417 60 127937 59 128457 58 128978 56 129498 55 130020 50 130541 46 131062 42 131583 38 132106 28 132632 16
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,263131 10 263649 17 264168 21 264687 24 265206 30 265725 49 266245 52 266764 54 267284 55 267804 57 268324 58 268844 60 269364 61 269884 61 270404 61 270924 62 271444 62 271964 62 272484 62 273004 63 273524 63 274044 63 274563 64 275083 64 275603 64 276123 64 276643 63 277163 63 277683 63 278203 63 278724 62 279244 61 279764 61 280285 59 280805 58 281326 57 281848 54 282371 50 282896 43 283418 40 283939 38 284460 35 284982 31 285508 17
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,216912 6 217430 11 217948 17 218467 19 218987 20 219507 21 220026 23 220546 26 221066 28 221586 28 222105 30 222625 31 223095 5 223144 33 223611 14 223663 35 224130 17 224182 36 224649 19 224702 37 225169 20 225222 37 225689 21 225741 38 226209 23 226260 40 226729 24 226779 41 227249 25 227298 43 227768 26 227817 45 228288 27 228337 45 228808 30 228853 50 229328 33 229370 53 229847 39 229888 56 230367 98 230887 99 231406 100 231926 100 232446 101 232965 103 233485 103 234005 105 234525 112 235045 118 235565 120 236085 95 236181 25 236605 123 237125 85 237218 32 237644 47 237702 22 237739 32 238164 46 238224 18 238259 33 238684 45 238746 15 238779 34 239204 44 239267 12 239298 35 239724 43 239816 38 240244 42 240335 39 240764 41 240855 39 241284 40 241374 40 241804 39 241894 40 242324 38 242413 41 242844 35 242931 42 243365 17 243449 43 243885 13 243968 43 244405 11 244487 44 244926 8 245007 43 245450 2 245527 41 246046 38 246566 37 247086 37 247606 36 248126 35 248646 34 249166 33 249686 33 250206 33 250726 32 251246 32 251767 30 252287 29 252807 28 253328 27 253849 25 254374 17
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,2644 7 3162 11 3681 13 4200 14 4719 16 5238 18 5758 19 6277 21 6797 22 7316 23 7835 26 8355 28 8874 31 9394 31 9914 32 10433 34 10953 34 11472 36 11992 37 12511 38 13031 39 13550 40 14070 40 14590 40 15110 40 15630 40 16150 40 16669 41 17189 41 17709 41 18229 41 18749 41 19269 41 19789 41 20309 41 20829 41 21349 41 21869 41 22389 41 22909 41 23429 41 23949 40 24469 40 24989 39 25509 39 26029 38 26549 38 27069 37 27590 36 28110 35 28630 35 29150 34 29670 34 30191 32 30712 30 31232 29 31753 27 32273 26 32794 24 33315 22 33836 19 34357 17 34878 14 35399 12 35921 8
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,104 1 607 25 1122 32 1640 35 2159 38 2679 41 3199 43 3719 44 4240 44 4762 43 5283 43 5804 43 6325 43 6846 43 7366 43 7886 44 8406 44 8927 44 9447 44 9967 44 10487 45 11008 44 11528 44 12049 43 12569 44 13090 43 13610 42 14131 41 14651 41 15172 40 15693 39 16214 38 16735 36 17257 34 17778 33 18299 32 18820 30 19343 26 19867 21 20390 16 20912 12 21433 10
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,79176 10 79692 18 80211 20 80730 22 81249 24 81765 31 82280 38 82799 40 83318 42 83837 43 84355 46 84873 49 85391 52 85911 53 86430 54 86949 56 87468 57 87987 59 88506 61 89026 61 89545 62 90065 62 90584 63 91103 64 91623 64 92143 64 92663 63 93183 62 93703 62 94224 60 94744 60 95265 58 95785 57 96306 55 96826 54 97347 52 97867 52 98388 50 98912 39 99436 29 99957 24 100478 22 101000 18
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,181092 10 181611 13 182130 14 182650 15 183169 17 183688 19 184207 22 184726 24 185245 25 185764 27 186282 30 186799 34 187317 37 187836 38 188356 39 188875 41 189395 42 189915 43 190434 45 190954 45 191474 45 191994 45 192514 45 193034 45 193554 45 194074 45 194594 45 195114 45 195634 45 196155 44 196675 44 197195 44 197715 44 198235 43 198755 43 199275 43 199796 41 200317 40 200838 38 201359 37 201880 36 202400 35 202922 33 203445 29 203970 23 204491 21 205012 20 205534 17 206059 11
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,52709 2 53227 7 53739 23 54257 27 54776 30 55295 32 55814 34 56333 36 56852 39 57371 41 57890 42 58410 43 58929 45 59448 47 59967 49 60486 50 61006 50 61525 51 62044 52 62564 52 63084 52 63603 53 64123 53 64643 53 65163 53 65683 53 66203 53 66723 52 67243 52 67763 50 68283 50 68803 49 69323 49 69843 48 70363 46 70883 43 71403 42 71923 41 72444 39 72964 38 73484 32 74004 28 74525 25 75045 24 75566 21 76089 14
