ImageId,EncodedPixels
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,26002 3 26522 4 27042 5 27562 5 28081 7 28601 7 29121 7 29641 8 30161 8 30681 7 31201 7 31721 7 32241 7 32761 7 33282 6 33802 5 34322 4 34842 3 35362 2
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,101926 6 102444 10 102963 12 103482 14 104002 16 104522 20 105041 23 105561 24 106081 25 106601 26 107121 28 107641 30 108161 31 108681 32 109201 32 109721 32 110241 32 110761 33 111281 33 111801 33 112321 33 112841 33 113361 33 113415 13 113881 33 113934 15 114401 33 114454 16 114921 33 114973 18 115441 34 115492 21 115961 35 116009 29 116481 36 116527 33 117001 37 117046 35 117521 38 117565 36 118041 81 118561 81 119081 81 119601 81 120121 81 120642 80 121162 80 121692 70 122213 69 122734 68 123254 68 123774 68 124294 68 124814 67 125334 67 125854 66 126374 65 126895 63 127415 62 127936 60 128456 59 128977 57 129498 54 130019 46 130541 38 131061 35 131582 32 132103 29 132628 20
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,155487 4 156005 7 156524 9 157043 10 157562 12 158082 13 158602 14 159121 16 159641 16 160161 16 160681 17 161201 17 161721 17 162241 18 162761 19 163281 19 163801 20 164321 20 164841 21 165361 21 165881 21 166401 21 166921 21 167441 21 167961 21 168481 21 169001 21 169521 20 170041 20 170561 20 171081 20 171602 18 172123 16 172645 12 173168 8 173690 3
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,214832 1 215350 7 215870 8 216389 10 216908 11 217427 15 217947 18 218466 20 218986 21 219506 22 220025 25 220545 28 221065 30 221584 33 222103 34 222623 35 223092 10 223143 35 223610 15 223662 37 224129 17 224182 37 224649 18 224702 37 225168 20 225221 38 225688 22 225740 39 226207 25 226259 41 226727 26 226778 42 227246 27 227298 42 227766 28 227817 44 228285 30 228336 45 228805 31 228851 51 228928 4 229325 35 229367 56 229444 11 229845 37 229885 59 229963 13 230365 38 230404 60 230482 15 230884 101 231002 15 231404 102 231521 16 231923 105 232041 16 232443 106 232560 17 232962 109 233079 18 233482 109 233598 18 234002 110 234114 21 234522 132 235042 131 235562 130 236082 130 236602 131 237122 132 237641 51 237703 72 238161 50 238225 23 238249 46 238681 49 238746 20 238772 43 239201 49 239267 18 239291 44 239721 48 239790 12 239811 44 240241 46 240331 44 240761 45 240851 45 241281 45 241371 45 241801 44 241891 44 242322 42 242410 45 242842 38 242929 45 243362 18 243448 45 243883 15 243967 45 244404 13 244487 45 244925 11 245006 45 245448 6 245526 44 246045 42 246565 39 247084 40 247604 39 248124 38 248644 37 249164 36 249684 35 250204 35 250724 35 251245 34 251766 32 252286 32 252806 32 253327 30 253848 27 254372 21 254901 9 255426 3
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,263129 21 263647 26 264166 29 264685 32 265204 38 265723 55 266242 59 266762 59 267281 61 267801 62 268321 63 268841 64 269361 65 269881 65 270401 65 270921 65 271441 65 271961 66 272481 66 273001 66 273521 66 274041 66 274561 66 275081 66 275601 66 276121 66 276641 65 277161 65 277681 65 278201 65 278722 64 279242 63 279763 62 280284 60 280806 57 281327 56 281848 54 282371 50 282896 43 283417 41 283938 39 284458 38 284980 34 285511 9
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,190334 3 190854 3 191375 1
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,2127 5 2641 14 3159 17 3678 19 4198 20 4717 21 5236 23 5755 25 6274 27 6794 28 7313 30 7833 31 8353 34 8873 36 9392 37 9912 38 10431 39 10951 39 11470 40 11990 40 12510 40 13030 40 13550 40 14070 40 14590 40 15109 41 15629 41 16149 42 16669 42 17189 42 17709 42 18229 42 18749 42 19269 42 19789 42 20309 42 20829 43 21349 42 21869 42 22389 42 22909 42 23429 41 23949 41 24469 41 24989 41 25509 40 26029 40 26549 39 27069 39 27589 38 28110 36 28630 36 29150 35 29670 35 30190 34 30711 32 31232 30 31753 28 32273 28 32793 27 33314 24 33835 21 34356 19 34877 17 35397 16 35918 14 36442 6
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,82 29 594 40 1110 45 1631 45 2153 45 2675 46 3196 46 3717 46 4238 46 4759 46 5281 45 5803 45 6324 45 6845 45 7365 45 7886 45 8406 45 8926 46 9446 46 9967 45 10487 46 11007 46 11528 45 12049 44 12569 45 13090 44 13610 43 14131 42 14651 42 15171 42 15692 40 16213 39 16735 37 17257 34 17778 33 18299 32 18820 30 19342 28 19866 21 20389 16 20911 12 21432 10
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,79176 13 79692 19 80211 21 80731 21 81250 23 81765 31 82277 42 82796 44 83315 46 83834 47 84353 50 84871 53 85389 56 85908 58 86428 58 86947 60 87467 60 87986 61 88505 62 89025 63 89544 64 90064 64 90583 65 91103 65 91623 65 92143 65 92663 64 93183 64 93703 64 94223 64 94743 63 95264 62 95785 59 96306 55 96826 54 97347 52 97867 52 98388 50 98912 36 99437 24 99958 22 100479 20 101001 17 101528 4
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,181089 14 181608 18 182127 19 182647 20 183166 21 183686 21 184204 24 184724 24 185243 26 185762 27 186281 29 186796 35 187315 37 187835 37 188355 38 188875 39 189394 42 189914 44 190434 44 190954 45 191474 45 191994 45 192513 46 193033 47 193553 47 194073 47 194593 47 195113 46 195634 45 196154 45 196674 45 197194 45 197714 45 198235 44 198755 44 199275 44 199795 44 200316 43 200837 41 201358 40 201879 38 202399 38 202920 36 203445 31 203969 26 204491 23 205011 23 205532 21 206055 16
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,53736 27 54253 32 54772 35 55292 35 55811 37 56330 40 56849 42 57368 44 57888 44 58407 46 58927 47 59446 49 59965 51 60484 52 61004 52 61524 52 62043 53 62563 53 63083 54 63603 54 64123 53 64643 53 65163 53 65683 53 66202 54 66722 54 67242 53 67762 51 68282 50 68802 49 69323 47 69843 46 70363 45 70883 43 71403 41 71923 41 72443 40 72963 38 73484 31 74004 28 74524 26 75044 25 75565 23 76088 18
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,239902 5 240417 17 240936 19 241455 21 241974 22 242493 23 243013 23 243532 25 244052 25 244572 25 245092 26 245612 27 246132 28 246652 28 247172 29 247692 30 248212 30 248733 30 249253 30 249774 30 250294 30 250815 29 251335 29 251856 28 252376 28 252896 28 253417 27 253937 27 254458 26 254979 25 255499 25 256019 25 256540 24 257060 24 257580 24 258100 24 258620 24 259140 24 259661 23 260182 22 260703 21 261223 21 261744 20 262264 19 262786 16 263313 5
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,185 4 703 12 1221 15 1741 15 2261 15 2782 14 3302 13 3822 13 4343 12 4864 10
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,214 38 732 42 1251 44 1771 44 2291 44 2812 43 3332 42 3852 42 4372 42 4891 42 5410 42 5929 42 6448 42 6968 41 7487 42 8005 43 8517 32 8556 9 9035 31 9554 31 10074 30 10593 31 11113 30 11633 29 12153 28 12672 29 13193 28 13713 27 14234 26 14755 24 15275 23 15796 21 16317 19 16839 16 17368 3
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,156218 6 156737 10 157256 11 157775 14 158291 20 158809 24 159328 26 159847 28 160366 29 160883 33 161401 35 161921 35 162440 36 162960 36 163479 38 163998 39 164517 40 165036 41 165556 41 166076 42 166596 43 167116 44 167636 44 168156 45 168676 45 169196 45 169717 44 170237 44 170757 44 171278 42 171798 42 172319 40 172840 38 173360 37 173880 37 174401 35 174921 34 175443 28 175964 25 176484 24 177005 22 177526 20 178049 14 178573 5
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,161502 18 162020 21 162539 23 163058 24 163577 25 164095 28 164613 30 165132 31 165652 31 166171 32 166689 34 167208 34 167727 35 168246 36 168766 36 169286 36 169806 35 170326 35 170845 36 171365 35 171885 34 172404 35 172923 35 173442 35 173962 35 174482 34 175001 34 175521 33 176041 33 176561 32 177081 32 177601 31 178121 30 178641 29 179161 28 179682 27 180202 26 180723 23 181252 7
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,399 53 917 60 1436 62 1955 64 2475 65 2995 67 3515 68 4035 69 4555 69 5075 70 5595 71 6115 72 6635 73 7155 73 7675 74 8195 75 8715 76 9236 75 9756 76 10276 76 10797 75 11318 74 11839 73 12359 73 12880 72 13401 71 13922 70 14446 65 14968 63 15490 60 16011 58 16532 56 17057 50 17586 38 18109 33 18630 30 19152 27 19676 20
8b59819fbc92eefe45b1db95c0cc3a467ddcfc755684c7f2ba2f6ccb9ad740ab,220886 9 221404 13 221924 14 222443 15 222963 16 223482 17 224001 19 224520 20 225039 21 225559 22 226079 22 226599 22 227119 23 227639 23 228158 25 228678 25 229198 25 229717 26 230236 27 230756 28 231276 28 231796 29 232315 31 232835 32 233355 32 233875 33 234395 34 234915 35 235435 36 235955 36 236475 37 236995 37 237515 37 238035 37 238555 37 239075 37 239595 37 240115 37 240635 38 241155 38 241675 38 242195 38 242716 37 243237 36 243758 35 244278 35 244799 34 245319 34 245839 34 246359 33 246879 33 247399 33 247919 33 248439 33 248959 33 249479 33 249999 33 250519 33 251039 33 251559 33 252079 33 252599 33 253119 33 253640 32 254160 32 254681 30 255202 29 255723 28 256243 28 256763 27 257284 25 257804 25 258325 23 258846 22 259366 21 259888 18 260411 13 260936 5
